[Software Info]
Build,NTA 2.3 build 0033

[Sample Information]
Operator,""
Sample Description,"coffee"
Diluent,"aqua dest."
Concentration,"1:9"
Pre-treatmeant,""
Comments,""

[Results Summary]
Total Frames,2700
Processed Frames,2700
Valid Tracks,8731
Overall Drift (nm/s),394.39
X-Drift (nm/s),-315.38
Y-Drift (nm/s),236.81
Calibration (nm/pixel),166

Size data - Model Fit,
Mean (nm),0.00
Standard Deviation (nm),0.00
Diffusion Coefficient Data,
Mode (E4 nm^2/s),245.00
Mean (E4 nm^2/s),402.27
Standard Deviation (E4 nm^2/s),214.93

User Line 1,354
User Line 2,0
Average # centres/frame,94.00
Average # particles/frame,75.66
Equivalent particle concentration (E8 particles/ml),11.33
Selected average # particles/frame,0.00
Selected equivalent particle concentration (E8 particles/ml),0.00

[Settings],
Background Extract,On
Brightness,0
Gain,1.00
Blur Size,Auto,
Detection Threshold Type,Multi,
Detection Threshold,22
Min Track Length,Auto
Min Expected Size (nm),Auto

[Measurement Conditions]
Camera Type,CCD
Camera Shutter (ms),10.00
Camera Gain,339
Frame rate (fps),30.00
Temperature (°C),24.10
Viscosity (cP),0.907

[Warnings]
Low Completed Tracks,No
High Noise,0 frames
Auto max jump,Successful
Drift off,No
Settings Changed Whilst Processing,No
Vibration detected,No vibration detected
Additional Errors,None

[Graph Data]
Diffusion Coefficient (E4 nm²/s), Concentration (E6 particles / ml),,
716,0.4549,,
717,0.4528,,
718,0.4507,,
719,0.4486,,
720,0.4465,,
721,0.4445,,
722,0.4424,,
723,0.4404,,
724,0.4384,,
725,0.4364,,
726,0.4344,,
727,0.4325,,
728,0.4305,,
729,0.4286,,
730,0.4267,,
731,0.4248,,
732,0.4229,,
733,0.4210,,
734,0.4192,,
735,0.4174,,
736,0.4155,,
737,0.4137,,
738,0.4120,,
739,0.4102,,
740,0.4084,,
741,0.4067,,
742,0.4049,,
743,0.4032,,
744,0.4015,,
745,0.3998,,
746,0.3981,,
747,0.3965,,
748,0.3948,,
749,0.3932,,
750,0.3916,,
751,0.3900,,
752,0.3884,,
753,0.3868,,
754,0.3852,,
755,0.3836,,
756,0.3821,,
757,0.3806,,
758,0.3790,,
759,0.3775,,
760,0.3760,,
761,0.3746,,
762,0.3731,,
763,0.3716,,
764,0.3702,,
765,0.3688,,
766,0.3673,,
767,0.3659,,
768,0.3645,,
769,0.3631,,
770,0.3618,,
771,0.3604,,
772,0.3590,,
773,0.3577,,
774,0.3564,,
775,0.3551,,
776,0.3538,,
777,0.3525,,
778,0.3512,,
779,0.3499,,
780,0.3486,,
781,0.3474,,
782,0.3461,,
783,0.3449,,
784,0.3437,,
785,0.3425,,
786,0.3413,,
787,0.3401,,
788,0.3389,,
789,0.3377,,
790,0.3365,,
791,0.3354,,
792,0.3342,,
793,0.3331,,
794,0.3319,,
795,0.3308,,
796,0.3297,,
797,0.3285,,
798,0.3274,,
799,0.3263,,
800,0.3252,,
801,0.3242,,
802,0.3231,,
803,0.3220,,
804,0.3209,,
805,0.3199,,
806,0.3188,,
807,0.3177,,
808,0.3167,,
809,0.3156,,
810,0.3146,,
811,0.3136,,
812,0.3125,,
813,0.3115,,
814,0.3105,,
815,0.3094,,
816,0.3084,,
817,0.3074,,
818,0.3064,,
819,0.3053,,
820,0.3043,,
821,0.3033,,
822,0.3023,,
823,0.3013,,
824,0.3002,,
825,0.2992,,
826,0.2982,,
827,0.2972,,
828,0.2962,,
829,0.2952,,
830,0.2941,,
831,0.2931,,
832,0.2921,,
833,0.2911,,
834,0.2900,,
835,0.2890,,
836,0.2880,,
837,0.2870,,
838,0.2859,,
839,0.2849,,
840,0.2838,,
841,0.2828,,
842,0.2817,,
843,0.2807,,
844,0.2796,,
845,0.2786,,
846,0.2775,,
847,0.2765,,
848,0.2754,,
849,0.2743,,
850,0.2732,,
851,0.2722,,
852,0.2711,,
853,0.2700,,
854,0.2689,,
855,0.2678,,
856,0.2667,,
857,0.2656,,
858,0.2645,,
859,0.2634,,
860,0.2622,,
861,0.2611,,
862,0.2600,,
863,0.2589,,
864,0.2577,,
865,0.2566,,
866,0.2555,,
867,0.2543,,
868,0.2532,,
869,0.2520,,
870,0.2509,,
871,0.2497,,
872,0.2486,,
873,0.2474,,
874,0.2462,,
875,0.2451,,
876,0.2439,,
877,0.2427,,
878,0.2415,,
879,0.2404,,
880,0.2392,,
881,0.2380,,
882,0.2368,,
883,0.2357,,
884,0.2345,,
885,0.2333,,
886,0.2321,,
887,0.2309,,
888,0.2297,,
889,0.2286,,
890,0.2274,,
891,0.2262,,
892,0.2250,,
893,0.2238,,
894,0.2226,,
895,0.2215,,
896,0.2203,,
897,0.2191,,
898,0.2179,,
899,0.2168,,
900,0.2156,,
901,0.2144,,
902,0.2133,,
903,0.2121,,
904,0.2109,,
905,0.2098,,
906,0.2086,,
907,0.2075,,
908,0.2063,,
909,0.2052,,
910,0.2041,,
911,0.2029,,
912,0.2018,,
913,0.2007,,
914,0.1996,,
915,0.1985,,
916,0.1973,,
917,0.1962,,
918,0.1951,,
919,0.1941,,
920,0.1930,,
921,0.1919,,
922,0.1908,,
923,0.1898,,
924,0.1887,,
925,0.1876,,
926,0.1866,,
927,0.1855,,
928,0.1845,,
929,0.1835,,
930,0.1825,,
931,0.1815,,
932,0.1804,,
933,0.1794,,
934,0.1785,,
935,0.1775,,
936,0.1765,,
937,0.1755,,
938,0.1745,,
939,0.1736,,
940,0.1726,,
941,0.1717,,
942,0.1708,,
943,0.1698,,
944,0.1689,,
945,0.1680,,
946,0.1671,,
947,0.1662,,
948,0.1653,,
949,0.1644,,
950,0.1635,,
951,0.1627,,
952,0.1618,,
953,0.1610,,
954,0.1601,,
955,0.1593,,
956,0.1584,,
957,0.1576,,
958,0.1568,,
959,0.1560,,
960,0.1552,,
961,0.1544,,
962,0.1536,,
963,0.1528,,
964,0.1520,,
965,0.1513,,
966,0.1505,,
967,0.1498,,
968,0.1490,,
969,0.1483,,
970,0.1475,,
971,0.1468,,
972,0.1461,,
973,0.1454,,
974,0.1446,,
975,0.1439,,
976,0.1432,,
977,0.1426,,
978,0.1419,,
979,0.1412,,
980,0.1405,,
981,0.1398,,
982,0.1392,,
983,0.1385,,
984,0.1379,,
985,0.1372,,
986,0.1366,,
987,0.1359,,
